ln(153) = 5.01758, error = 0.00256295
ln(154) = 5.02344, error = 0.00269039
ln(155) = 5.03125, error = 0.00241989
ln(156) = 5.03174, error = 0.00360072
ln(157) = 5.03955, error = 0.0033128
ln(158) = 5.04541, error = 0.00340601
ln(159) = 5.05322, error = 0.00310332
ln(160) = 5.05713, error = 0.00356822
ln(161) = 5.06445, error = 0.00334707
ln(162) = 5.07031, error = 0.00340885
ln(163) = 5.07812, error = 0.00307692
ln(164) = 5.08398, error = 0.00312393
ln(165) = 5.08984, error = 0.00316352
ln(166) = 5.0918, error = 0.00396534
ln(167) = 5.0918, error = 0.00514493
ln(168) = 5.0918, error = 0.00631741
ln(169) = 5.0918, error = 0.00748295
ln(170) = 5.0918, error = 0.00864166
ln(171) = 5.07861, error = 0.0124149
ln(172) = 5.08447, error = 0.0123949
ln(173) = 5.09033, error = 0.0123685
ln(174) = 5.09619, error = 0.0123355
ln(175) = 5.10205, error = 0.0122961
ln(176) = 5.10742, error = 0.0123472
ln(177) = 5.11328, error = 0.0122952
ln(178) = 5.11914, error = 0.012237
ln(179) = 5.125, error = 0.0121729
ln(180) = 5.13086, error = 0.0121028
ln(181) = 5.13672, error = 0.0120268
ln(182) = 5.13721, error = 0.0130031
ln(183) = 5.14307, error = 0.0129144
ln(184) = 5.14893, error = 0.0128201
ln(185) = 5.15479, error = 0.0127204
ln(186) = 5.16064, error = 0.0126151
ln(187) = 5.16455, error = 0.0128874
ln(188) = 5.16992, error = 0.0128668
ln(189) = 5.17578, error = 0.0127451
ln(190) = 5.18164, error = 0.0126183
ln(191) = 5.1875, error = 0.0124865
ln(192) = 5.19141, error = 0.0127305
ln(193) = 5.19727, error = 0.0125882
ln(194) = 5.19727, error = 0.0135826
ln(195) = 5.19434, error = 0.0151442
ln(196) = 5.2002, error = 0.014984
ln(197) = 5.20605, error = 0.0148191
ln(198) = 5.20996, error = 0.0150301
ln(199) = 5.21582, error = 0.0148557
ln(200) = 5.21973, error = 0.0150565
ln(201) = 5.2251, error = 0.0149676
ln(202) = 5.23096, error = 0.0147794
ln(203) = 5.23486, error = 0.0149656
ln(204) = 5.24072, error = 0.0147684
ln(205) = 5.24658, error = 0.0145672
ln(206) = 5.25049, error = 0.0147392
ln(207) = 5.25439, error = 0.0149064
ln(208) = 5.25488, error = 0.0157293
ln(209) = 5.26074, error = 0.0155096
ln(210) = 5.2666, error = 0.0152861
ln(211) = 5.27051, error = 0.015435
ln(212) = 5.27637, error = 0.0152035
ln(213) = 5.28027, error = 0.0153437
ln(214) = 5.28418, error = 0.0154794
ln(215) = 5.28955, error = 0.0153297
ln(216) = 5.29346, error = 0.0154571
ln(217) = 5.29932, error = 0.0152059
ln(218) = 5.30518, error = 0.0149513
ln(219) = 5.30908, error = 0.0150666
ln(220) = 5.31299, error = 0.0151778
ln(221) = 5.31494, error = 0.015658
ln(222) = 5.31494, error = 0.0165075
ln(223) = 5.31494, error = 0.017353
ln(224) = 5.31494, error = 0.0181948
ln(225) = 5.31494, error = 0.019033
ln(226) = 5.31494, error = 0.0198673
ln(227) = 5.31494, error = 0.020698
ln(228) = 5.31494, error = 0.021525
ln(229) = 5.31494, error = 0.0223484
ln(230) = 5.31494, error = 0.0231683
ln(231) = 5.31494, error = 0.0239845
ln(232) = 5.31494, error = 0.0247972
ln(233) = 5.31494, error = 0.0256065
ln(234) = 5.31494, error = 0.0264123
ln(235) = 5.31494, error = 0.0272146
ln(236) = 5.31494, error = 0.0280136
ln(237) = 5.31494, error = 0.0288091
ln(238) = 5.31494, error = 0.0296013
ln(239) = 5.31494, error = 0.0303902
ln(240) = 5.31494, error = 0.0311758
