sin(73) = 0.956482, error = 0.000185273

cos(74) = 0.27655, error = 0.0033121
sin(74) = 0.960876, error = 0.000400756

cos(75) = 0.25946, error = 0.0024782
sin(75) = 0.965759, error = 0.000172424

cos(76) = 0.242615, error = 0.00286394
sin(76) = 0.970093, error = 0.000209166

cos(77) = 0.225403, error = 0.00200834
sin(77) = 0.974182, error = 0.000192879

cos(78) = 0.208435, error = 0.00251726
sin(78) = 0.977844, error = 0.00031014

cos(79) = 0.191162, error = 0.00185062
sin(79) = 0.981567, error = 6.09199e-05

cos(80) = 0.174072, error = 0.00244223
sin(80) = 0.98468, error = 0.000129545

cos(81) = 0.156616, error = 0.0011618
sin(81) = 0.987671, error = 1.76596e-05

cos(82) = 0.139404, error = 0.00166121
sin(82) = 0.990112, error = 0.000157295

cos(83) = 0.121765, error = 0.000855069
sin(83) = 0.992554, error = 7.61607e-06

cos(84) = 0.104431, error = 0.000930951
sin(84) = 0.994446, error = 7.65137e-05

cos(85) = 0.0869751, error = 0.00207267
sin(85) = 0.996033, error = 0.000162602

cos(86) = 0.0704956, error = 0.0105959
sin(86) = 0.997559, error = 5.46983e-06

cos(87) = 0.0529175, error = 0.0111114
sin(87) = 0.998596, error = 3.33891e-05

cos(88) = 0.0354614, error = 0.0161014
sin(88) = 0.999268, error = 0.000123324

cos(89) = 0.0180054, error = 0.0316841
sin(89) = 0.999634, error = 0.000213939

cos(90) = 0.000427246, error = 6.97746e+12
sin(90) = 0.999939, error = 6.10352e-05

cos(91) = -0.0180054, error = 0.0316841
sin(91) = 0.999634, error = 0.000213939

cos(92) = -0.0354614, error = 0.0161014
sin(92) = 0.999268, error = 0.000123324

cos(93) = -0.0529175, error = 0.0111114
sin(93) = 0.998596, error = 3.33891e-05

cos(94) = -0.0704956, error = 0.0105959
sin(94) = 0.997559, error = 5.46983e-06

cos(95) = -0.0869751, error = 0.00207267
sin(95) = 0.996033, error = 0.000162602

cos(96) = -0.104431, error = 0.000930951
sin(96) = 0.994446, error = 7.65137e-05

cos(97) = -0.121765, error = 0.000855069
sin(97) = 0.992554, error = 7.61607e-06

cos(98) = -0.139404, error = 0.00166121
sin(98) = 0.990112, error = 0.000157295

cos(99) = -0.156616, error = 0.0011618
sin(99) = 0.987671, error = 1.76596e-05

cos(100) = -0.174072, error = 0.00244223
sin(100) = 0.98468, error = 0.000129545

cos(101) = -0.191162, error = 0.00185062
sin(101) = 0.981567, error = 6.09199e-05

cos(102) = -0.208435, error = 0.00251726
sin(102) = 0.977844, error = 0.00031014

cos(103) = -0.225403, error = 0.00200834
sin(103) = 0.974182, error = 0.000192879

cos(104) = -0.242615, error = 0.00286394
sin(104) = 0.970093, error = 0.000209166

cos(105) = -0.25946, error = 0.0024782
sin(105) = 0.965759, error = 0.000172424

cos(106) = -0.27655, error = 0.0033121
sin(106) = 0.960876, error = 0.000400756

cos(107) = -0.291443, error = 0.00317689
sin(107) = 0.956482, error = 0.000185273

cos(108) = -0.308105, error = 0.00294976
sin(108) = 0.951294, error = 0.000249648

cos(109) = -0.32605, error = 0.00147941
sin(109) = 0.945251, error = 0.000282502

cos(110) = -0.342651, error = 0.00184558
sin(110) = 0.939331, error = 0.000384771

cos(111) = -0.359009, error = 0.00178822
sin(111) = 0.933289, error = 0.000312616

cos(112) = -0.375427, error = 0.00219071
sin(112) = 0.92688, error = 0.000327844

cos(113) = -0.391602, error = 0.00222771
sin(113) = 0.920166, error = 0.0003681

cos(114) = -0.405884, error = 0.00209682
sin(114) = 0.91394, error = 0.000432351

cos(115) = -0.421936, error = 0.00161429
sin(115) = 0.906677, error = 0.000407653

cos(116) = -0.437805, error = 0.00129108
sin(116) = 0.899109, error = 0.000350292

cos(117) = -0.45343, error = 0.00123422
sin(117) = 0.891296, error = 0.00032532

cos(118) = -0.468994, error = 0.00101694
sin(118) = 0.883301, error = 0.000400011

cos(119) = -0.484558, error = 0.000518791
sin(119) = 0.874634, error = 1.61006e-05

cos(120) = -0.499695, error = 0.000610352
sin(120) = 0.866211, error = 0.000214236

cos(121) = -0.514893, error = 0.000282497
sin(121) = 0.8573, error = 0.000154584

cos(122) = -0.529785, error = 0.000253072
sin(122) = 0.848145, error = 0.000113714

cos(123) = -0.543945, error = 0.00127373
sin(123) = 0.838989, error = 0.000379994

cos(124) = -0.558472, error = 0.00128976
sin(124) = 0.829407, error = 0.000445294

