exp(0) = 1, error = 0
exp(0.139) = 1.14648, error = 0.0023026
exp(0.14) = 1.14844, error = 0.00159906
exp(0.141) = 1.14844, error = 0.00260116
exp(0.142) = 1.15039, error = 0.00190038
exp(0.143) = 1.15039, error = 0.00290275
exp(0.144) = 1.15234, error = 0.00220461
exp(0.145) = 1.15234, error = 0.00320735
exp(0.146) = 1.1543, error = 0.00251184
exp(0.147) = 1.15625, error = 0.00181971
exp(0.148) = 1.15625, error = 0.00282205
exp(0.149) = 1.16016, error = 0.000445536
exp(0.15) = 1.16016, error = 0.00144645
exp(0.151) = 1.16211, error = 0.000763606
exp(0.152) = 1.16211, error = 0.00176489
exp(0.153) = 1.16406, error = 0.00108471
exp(0.154) = 1.16406, error = 0.00208626
exp(0.155) = 1.16602, error = 0.00140861
exp(0.156) = 1.16602, error = 0.00241053
exp(0.157) = 1.16797, error = 0.00173552
exp(0.158) = 1.16797, error = 0.0027377
exp(0.159) = 1.16992, error = 0.00206531
exp(0.16) = 1.16992, error = 0.00306786
exp(0.161) = 1.17188, error = 0.00239797
exp(0.162) = 1.17188, error = 0.00340088
exp(0.163) = 1.17383, error = 0.00273358
exp(0.164) = 1.17383, error = 0.00373685
exp(0.165) = 1.17773, error = 0.00140857
exp(0.166) = 1.17773, error = 0.00241053
exp(0.167) = 1.17969, error = 0.00175213
exp(0.168) = 1.18164, error = 0.00109692
exp(0.169) = 1.18164, error = 0.0020985
exp(0.17) = 1.18359, error = 0.00144581
exp(0.171) = 1.18359, error = 0.00244775
exp(0.172) = 1.18555, error = 0.00179757
exp(0.173) = 1.18555, error = 0.00279987
exp(0.174) = 1.1875, error = 0.00215219
exp(0.175) = 1.1875, error = 0.00315485
exp(0.176) = 1.18945, error = 0.00250966
exp(0.177) = 1.18945, error = 0.00351268
exp(0.178) = 1.19141, error = 0.00286995
exp(0.179) = 1.19531, error = 0.000592699
exp(0.18) = 1.19531, error = 0.0015938
exp(0.181) = 1.19727, error = 0.000960333
exp(0.182) = 1.19727, error = 0.00196179
exp(0.183) = 1.19922, error = 0.00133075
exp(0.184) = 1.19922, error = 0.00233266
exp(0.185) = 1.20117, error = 0.00170402
exp(0.186) = 1.20117, error = 0.00270619
exp(0.187) = 1.20312, error = 0.00208005
exp(0.188) = 1.20508, error = 0.00145683
exp(0.189) = 1.20508, error = 0.00245882
exp(0.19) = 1.20703, error = 0.00183807
exp(0.191) = 1.20703, error = 0.00284041
exp(0.192) = 1.20898, error = 0.00222201
exp(0.193) = 1.20898, error = 0.00322471
exp(0.194) = 1.21289, error = 0.000994254
exp(0.195) = 1.21289, error = 0.00199578
exp(0.196) = 1.21484, error = 0.00138575
exp(0.197) = 1.21484, error = 0.00238763
exp(0.198) = 1.2168, error = 0.00177991
exp(0.199) = 1.2168, error = 0.00278215
exp(0.2) = 1.21875, error = 0.00217682
exp(0.201) = 1.21875, error = 0.0031795
exp(0.202) = 1.2207, error = 0.00257656
exp(0.203) = 1.2207, error = 0.00357959
exp(0.204) = 1.22266, error = 0.00297893
exp(0.205) = 1.22266, error = 0.0039824
exp(0.206) = 1.22461, error = 0.003384
exp(0.207) = 1.22461, error = 0.00438791
exp(0.208) = 1.22656, error = 0.00379186
exp(0.209) = 1.23242, error = 1.90553e-05
exp(0.21) = 1.23242, error = 0.00101951
exp(0.211) = 1.23438, error = 0.000435552
exp(0.212) = 1.23438, error = 0.00143655
exp(0.213) = 1.23633, error = 0.000854781
exp(0.214) = 1.23633, error = 0.00185622
exp(0.215) = 1.23828, error = 0.00127673
exp(0.216) = 1.23828, error = 0.00227852
exp(0.217) = 1.24023, error = 0.00170129
exp(0.218) = 1.24023, error = 0.00270352
exp(0.219) = 1.24219, error = 0.00212855
exp(0.22) = 1.24219, error = 0.00313122
exp(0.221) = 1.24414, error = 0.00255849
exp(0.222) = 1.24414, error = 0.0035616
exp(0.223) = 1.24609, error = 0.00299111
exp(0.224) = 1.25, error = 0.000857067
exp(0.225) = 1.25, error = 0.00185843
exp(0.226) = 1.25195, error = 0.00129631
exp(0.227) = 1.25195, error = 0.0022981
exp(0.228) = 1.25391, error = 0.00173808
exp(0.229) = 1.25391, error = 0.00274031
exp(0.23) = 1.25586, error = 0.00218255
exp(0.231) = 1.25977, error = 7.4567e-05
exp(0.232) = 1.25977, error = 0.00107516
exp(0.233) = 1.26172, error = 0.000525507
exp(0.234) = 1.26172, error = 0.00152654
exp(0.235) = 1.26367, error = 0.00097911
exp(0.236) = 1.26367, error = 0.00198058
exp(0.237) = 1.26562, error = 0.00143527
exp(0.238) = 1.26562, error = 0.00243717
exp(0.239) = 1.26953, error = 0.000352595
exp(0.24) = 1.26953, error = 0.00135348
exp(0.241) = 1.27148, error = 0.000815583
exp(0.242) = 1.27148, error = 0.0018169
exp(0.243) = 1.27344, error = 0.00128118
exp(0.244) = 1.27344, error = 0.00228301
exp(0.245) = 1.27539, error = 0.00174936
exp(0.246) = 1.27539, error = 0.00275163
